gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus
ENSG00000228794.8,ENSG00000228794,LINC01128,chr1,processed_transcript,1,0,0
ENSG00000217801.9,ENSG00000217801,RP11-465B22.3,chr1,transcribed_unprocessed_pseudogene,0,1,0
ENSG00000131584.18,ENSG00000131584,ACAP3,chr1,protein_coding,1,0,1
ENSG00000224870.6,ENSG00000224870,RP4-758J18.2,chr1,processed_transcript,1,0,0
ENSG00000179403.11,ENSG00000179403,VWA1,chr1,protein_coding,1,0,0
ENSG00000008130.15,ENSG00000008130,NADK,chr1,protein_coding,1,0,0
ENSG00000067606.16,ENSG00000067606,PRKCZ,chr1,protein_coding,1,0,0
ENSG00000149527.17,ENSG00000149527,PLCH2,chr1,protein_coding,1,0,0
ENSG00000130762.14,ENSG00000130762,ARHGEF16,chr1,protein_coding,1,0,0
ENSG00000116198.12,ENSG00000116198,CEP104,chr1,protein_coding,1,0,0
ENSG00000158292.6,ENSG00000158292,GPR153,chr1,protein_coding,1,0,0
ENSG00000171735.18,ENSG00000171735,CAMTA1,chr1,protein_coding,1,0,0
ENSG00000049246.14,ENSG00000049246,PER3,chr1,protein_coding,1,0,0
ENSG00000180758.11,ENSG00000180758,GPR157,chr1,protein_coding,1,0,0
ENSG00000228526.5,ENSG00000228526,MIR34A,chr1,lincRNA,1,0,0
ENSG00000281937.1,ENSG00000281937,RP3-510D11.4,chr1,lincRNA,1,0,0
ENSG00000054523.17,ENSG00000054523,KIF1B,chr1,protein_coding,1,0,0
ENSG00000120942.13,ENSG00000120942,UBIAD1,chr1,protein_coding,1,0,0
ENSG00000204624.7,ENSG00000204624,DISP3,chr1,protein_coding,1,0,0
ENSG00000116661.9,ENSG00000116661,FBXO2,chr1,protein_coding,1,0,0
ENSG00000177000.10,ENSG00000177000,MTHFR,chr1,protein_coding,1,0,0
ENSG00000120937.8,ENSG00000120937,NPPB,chr1,protein_coding,1,0,0
ENSG00000116688.16,ENSG00000116688,MFN2,chr1,protein_coding,1,0,0
ENSG00000120949.14,ENSG00000120949,TNFRSF8,chr1,protein_coding,1,0,0
ENSG00000048707.13,ENSG00000048707,VPS13D,chr1,protein_coding,1,0,0
ENSG00000116771.5,ENSG00000116771,AGMAT,chr1,protein_coding,1,0,0
ENSG00000197312.11,ENSG00000197312,DDI2,chr1,protein_coding,1,0,0
ENSG00000159363.17,ENSG00000159363,ATP13A2,chr1,protein_coding,1,0,0
ENSG00000117115.12,ENSG00000117115,PADI2,chr1,protein_coding,1,0,0
ENSG00000074964.16,ENSG00000074964,ARHGEF10L,chr1,protein_coding,1,0,0
ENSG00000040487.12,ENSG00000040487,PQLC2,chr1,protein_coding,1,0,1
ENSG00000187942.11,ENSG00000187942,LDLRAD2,chr1,protein_coding,1,0,0
ENSG00000070886.11,ENSG00000070886,EPHA8,chr1,protein_coding,0,1,0
ENSG00000133216.16,ENSG00000133216,EPHB2,chr1,protein_coding,1,0,0
ENSG00000169641.13,ENSG00000169641,LUZP1,chr1,protein_coding,1,0,0
ENSG00000125945.14,ENSG00000125945,ZNF436,chr1,protein_coding,0,1,0
ENSG00000249087.6,ENSG00000249087,ZNF436-AS1,chr1,antisense,0,1,0
ENSG00000011009.10,ENSG00000011009,LYPLA2,chr1,protein_coding,1,0,0
ENSG00000117602.11,ENSG00000117602,RCAN3,chr1,protein_coding,1,0,0
ENSG00000117632.21,ENSG00000117632,STMN1,chr1,protein_coding,1,0,0
ENSG00000117676.13,ENSG00000117676,RPS6KA1,chr1,protein_coding,1,1,0
ENSG00000253368.3,ENSG00000253368,TRNP1,chr1,protein_coding,1,0,0
ENSG00000117758.13,ENSG00000117758,STX12,chr1,protein_coding,1,0,0
ENSG00000130768.14,ENSG00000130768,SMPDL3B,chr1,protein_coding,1,0,0
ENSG00000116329.10,ENSG00000116329,OPRD1,chr1,protein_coding,1,0,0
ENSG00000233427.1,ENSG00000233427,RP1-212P9.3,chr1,antisense,1,0,0
ENSG00000159023.19,ENSG00000159023,EPB41,chr1,protein_coding,1,0,0
ENSG00000116350.16,ENSG00000116350,SRSF4,chr1,protein_coding,1,0,0
ENSG00000116353.15,ENSG00000116353,MECR,chr1,protein_coding,1,0,0
ENSG00000060656.19,ENSG00000060656,PTPRU,chr1,protein_coding,1,0,0
ENSG00000060688.12,ENSG00000060688,SNRNP40,chr1,protein_coding,1,0,0
ENSG00000184007.18,ENSG00000184007,PTP4A2,chr1,protein_coding,1,0,0
ENSG00000121775.17,ENSG00000121775,TMEM39B,chr1,protein_coding,1,0,0
ENSG00000224066.1,ENSG00000224066,RP4-622L5.7,chr1,antisense,1,0,0
ENSG00000220785.7,ENSG00000220785,MTMR9LP,chr1,transcribed_unprocessed_pseudogene,1,0,0
ENSG00000175130.6,ENSG00000175130,MARCKSL1,chr1,protein_coding,1,0,0
ENSG00000162522.10,ENSG00000162522,KIAA1522,chr1,protein_coding,1,0,0
ENSG00000116525.13,ENSG00000116525,TRIM62,chr1,protein_coding,1,0,0
ENSG00000142686.7,ENSG00000142686,C1orf216,chr1,protein_coding,1,0,0
ENSG00000116863.10,ENSG00000116863,ADPRHL2,chr1,protein_coding,1,0,0
ENSG00000116871.15,ENSG00000116871,MAP7D1,chr1,protein_coding,1,0,0
ENSG00000197982.13,ENSG00000197982,C1orf122,chr1,protein_coding,1,0,0
ENSG00000185668.7,ENSG00000185668,POU3F1,chr1,protein_coding,1,0,0
ENSG00000224592.5,ENSG00000224592,RP5-884C9.2,chr1,lincRNA,1,0,0
ENSG00000158315.10,ENSG00000158315,RHBDL2,chr1,protein_coding,1,0,0
ENSG00000163909.7,ENSG00000163909,HEYL,chr1,protein_coding,1,0,0
ENSG00000116990.10,ENSG00000116990,MYCL,chr1,protein_coding,1,0,0
ENSG00000117016.9,ENSG00000117016,RIMS3,chr1,protein_coding,1,0,0
ENSG00000117013.14,ENSG00000117013,KCNQ4,chr1,protein_coding,1,0,0
ENSG00000010803.16,ENSG00000010803,SCMH1,chr1,protein_coding,0,1,0
ENSG00000177181.14,ENSG00000177181,RIMKLA,chr1,protein_coding,1,1,0
ENSG00000236876.3,ENSG00000236876,TMSB4XP1,chr1,processed_pseudogene,1,0,0
ENSG00000177868.11,ENSG00000177868,SVBP,chr1,protein_coding,0,1,0
ENSG00000179178.10,ENSG00000179178,TMEM125,chr1,protein_coding,1,0,0
ENSG00000066056.13,ENSG00000066056,TIE1,chr1,protein_coding,1,0,0
ENSG00000066322.13,ENSG00000066322,ELOVL1,chr1,protein_coding,1,0,0
ENSG00000178922.16,ENSG00000178922,HYI,chr1,protein_coding,1,0,0
